subject,condition,freqBandPowerThetaFz,freqBandPowerAlphaMean,freqBandPowerAlphaPz,freqBandPowerAlphaP1,freqBandPowerAlphaP2,freqBandPowerAlphaP3,freqBandPowerAlphaP4
sub-039,memory,-0.355440,-4.411653,-4.770279,-4.717852,-4.314139,-5.195645,-3.060351
sub-039,control,0.152893,-2.767437,-2.970588,-2.955281,-2.441338,-2.989212,-2.480769
sub-038,memory,2.421619,0.244544,0.421793,-0.133992,0.149511,-0.514281,1.299688
sub-038,control,2.023585,1.885610,2.092478,1.522273,2.133122,0.551718,3.128459
sub-036,memory,4.519282,4.368697,4.280586,3.934459,4.318884,4.532906,4.776651
sub-036,control,2.841969,3.808983,3.849725,3.460869,3.757804,3.977005,3.999513
sub-035,memory,3.915082,2.184828,1.646105,1.565806,1.203354,4.881051,1.627824
sub-035,control,2.647004,2.750495,1.337037,1.486939,0.955983,8.583001,1.389515
sub-034,memory,6.111353,2.244093,2.125299,1.597185,2.255401,2.289037,2.953543
sub-034,control,5.295108,2.647534,2.611312,2.179122,2.700552,2.481683,3.265002
sub-033,memory,2.909602,1.240370,1.647847,1.644134,0.894056,1.597421,0.418392
sub-033,control,0.594788,1.152835,1.522107,1.512733,0.838130,1.556314,0.334889
sub-032,memory,-0.041199,3.836669,4.421408,4.054426,3.272228,4.243185,3.192099
sub-032,control,-0.093455,4.563492,4.909165,4.678076,3.881740,5.314363,4.034116
